metric	prcp	t2m	u10m	v10m
RMSE	14.12	1.01	0.59	0.69
MAE	8.09	0.82	0.44	0.53
CORR	0.33	0.98	0.87	0.86
CRPS	8.09	0.82	0.44	0.53
STD_DEV	0.00	0.00	0.00	0.00
