year_bin	prcp	t2m	u10m	v10m
2015-2024	5.74	0.65	0.35	0.35
2025-2034	6.54	0.63	0.36	0.35
2035-2044	6.46	0.63	0.36	0.36
2045-2054	6.36	0.62	0.35	0.35
2055-2064	6.33	0.63	0.35	0.35
2065-2074	7.26	0.64	0.37	0.36
2075-2080	7.75	0.64	0.36	0.37
