year_bin	prcp	t2m	u10m	v10m
2015-2024	11.20	0.99	0.59	0.59
2025-2034	12.56	0.95	0.60	0.60
2035-2044	12.53	0.96	0.60	0.60
2045-2054	12.38	0.94	0.59	0.60
2055-2064	12.35	0.96	0.58	0.59
2065-2074	13.81	0.97	0.61	0.61
2075-2080	14.35	0.97	0.61	0.63
