year_bin	prcp	t2m	u10m	v10m
2015-2024	6.22	0.80	0.45	0.45
2025-2034	7.05	0.77	0.46	0.46
2035-2044	6.96	0.78	0.45	0.46
2045-2054	6.84	0.77	0.45	0.45
2055-2064	6.82	0.78	0.45	0.45
2065-2074	7.80	0.79	0.46	0.46
2075-2080	8.26	0.79	0.46	0.48
