metric	prcp	t2m	u10m	v10m
RMSE	11.09	0.93	0.51	0.55
MAE	5.81	0.76	0.39	0.42
CORR	0.38	0.98	0.89	0.91
CRPS	5.29	0.62	0.30	0.32
STD_DEV	1.37	0.36	0.26	0.30
