month	prcp	t2m	u10m	v10m
1	1.34	0.47	0.37	0.46
2	0.94	0.46	0.37	0.45
3	1.38	0.51	0.37	0.45
4	3.09	0.52	0.39	0.46
5	5.39	0.54	0.43	0.50
6	7.77	0.43	0.38	0.46
7	8.58	0.45	0.41	0.46
8	10.83	0.48	0.46	0.48
9	7.98	0.41	0.40	0.46
10	5.52	0.43	0.38	0.46
11	1.03	0.40	0.34	0.41
12	1.33	0.51	0.37	0.45
