month	prcp	t2m	u10m	v10m
1	2.76	0.59	0.49	0.60
2	2.02	0.58	0.48	0.58
3	2.69	0.64	0.48	0.57
4	5.60	0.65	0.50	0.60
5	10.17	0.69	0.56	0.64
6	14.45	0.55	0.49	0.60
7	15.19	0.57	0.53	0.60
8	19.51	0.61	0.60	0.63
9	13.62	0.52	0.52	0.60
10	11.16	0.54	0.50	0.60
11	2.63	0.51	0.44	0.53
12	2.51	0.63	0.49	0.59
