month	prcp	t2m	u10m	v10m
1	3.73	0.90	0.47	0.50
2	4.49	0.91	0.52	0.53
3	6.46	0.95	0.57	0.59
4	8.74	0.97	0.57	0.61
5	16.21	1.02	0.59	0.64
6	23.08	1.07	0.62	0.69
7	18.39	0.93	0.55	0.61
8	20.72	0.95	0.58	0.63
9	17.82	0.90	0.54	0.59
10	10.33	0.84	0.50	0.53
11	4.64	0.82	0.46	0.47
12	3.78	0.89	0.46	0.48
