year_bin	prcp	t2m	u10m	v10m
2015-2024	5.08	0.65	0.31	0.33
2025-2034	5.30	0.66	0.32	0.33
2035-2044	5.71	0.64	0.32	0.34
2045-2054	5.86	0.64	0.32	0.34
2055-2064	6.35	0.67	0.33	0.35
2065-2074	6.55	0.68	0.33	0.35
2075-2080	6.54	0.71	0.33	0.36
