month	prcp	t2m	u10m	v10m
1	4.26	1.20	0.60	0.70
2	5.07	1.20	0.63	0.72
3	7.10	1.25	0.68	0.77
4	9.21	1.26	0.66	0.77
5	16.67	1.27	0.66	0.77
6	23.64	1.25	0.70	0.84
7	19.02	1.12	0.64	0.77
8	21.70	1.16	0.69	0.80
9	18.68	1.14	0.64	0.74
10	11.52	1.16	0.63	0.76
11	5.20	1.15	0.58	0.67
12	4.31	1.22	0.58	0.68
