metric,precipitation,temperature_2m,eastward_wind_10m,northward_wind_10m
rmse,8.44,0.39,0.72,0.87
mae,3.97,0.29,0.54,0.65
crps,3.97,0.29,0.54,0.65
std_dev,0.00,0.00,0.00,0.00
