year_bin	prcp	t2m	u10m	v10m
2015-2024	10.75	0.90	0.52	0.56
2025-2034	10.88	0.87	0.52	0.56
2035-2044	11.59	0.87	0.52	0.57
2045-2054	11.87	0.86	0.52	0.57
2055-2064	11.12	0.87	0.51	0.57
2065-2074	11.33	0.87	0.52	0.57
2075-2080	12.08	0.87	0.52	0.57
