metric	prcp	t2m	u10m	v10m
RMSE	13.41	1.19	0.65	0.77
MAE	7.07	0.98	0.49	0.59
CORR	0.31	0.97	0.84	0.85
CRPS	7.07	0.98	0.49	0.59
STD_DEV	0.00	0.00	0.00	0.00
