metric	prcp	t2m	u10m	v10m
RMSE	12.31	1.10	0.60	0.65
MAE	6.44	0.90	0.45	0.49
CORR	0.29	0.97	0.85	0.87
CRPS	6.02	0.77	0.37	0.40
STD_DEV	1.11	0.30	0.23	0.27
