metric	prcp	t2m	u10m	v10m
RMSE	8.53	0.56	0.47	0.56
MAE	4.38	0.44	0.36	0.42
CORR	0.47	0.99	0.93	0.93
CRPS	4.38	0.44	0.36	0.42
STD_DEV	0.00	0.00	0.00	0.00
