year_bin	prcp	t2m	u10m	v10m
2015-2024	-0.002	-0.102	-0.034	-0.091
2025-2034	0.003	-0.102	-0.032	-0.092
2035-2044	-0.012	-0.105	-0.030	-0.090
2045-2054	-0.007	-0.106	-0.031	-0.088
2055-2064	-0.004	-0.104	-0.031	-0.089
2065-2074	0.004	-0.087	-0.029	-0.087
2075-2080	-0.013	-0.101	-0.032	-0.089
