month	prcp	t2m	u10m	v10m
1	5.30	1.12	0.63	0.64
2	4.50	1.15	0.63	0.69
3	4.78	1.22	0.63	0.66
4	6.35	1.27	0.65	0.68
5	16.38	1.20	0.67	0.71
6	27.35	1.43	0.80	0.87
7	23.69	1.31	0.74	0.85
8	32.23	1.12	0.76	0.78
9	24.16	1.15	0.72	0.79
10	11.11	1.04	0.62	0.68
11	5.86	1.00	0.59	0.62
12	3.75	1.09	0.58	0.59
