metric	prcp	t2m	u10m	v10m
RMSE	10.75	0.76	0.42	0.46
MAE	5.77	0.61	0.31	0.34
CORR	0.40	0.99	0.92	0.92
CRPS	5.11	0.46	0.23	0.25
STD_DEV	2.02	0.44	0.28	0.32
