month	prcp	t2m
1	0.37	0.94
2	0.33	0.94
3	0.27	0.94
4	0.17	0.96
5	0.15	0.97
6	0.13	0.97
7	0.08	0.97
8	0.11	0.98
9	0.13	0.98
10	0.27	0.97
11	0.37	0.95
12	0.36	0.95
