month	prcp	t2m
1	2.58	3.47
2	3.37	3.69
3	3.98	3.14
4	4.51	2.65
5	9.14	2.05
6	17.21	2.03
7	14.00	2.23
8	17.32	1.87
9	12.98	1.99
10	7.78	2.42
11	3.21	2.79
12	2.54	2.80
