month	prcp	t2m
1	4.67	3.87
2	5.55	4.10
3	6.47	3.57
4	7.08	3.00
5	14.97	2.37
6	25.27	2.36
7	22.71	2.58
8	27.67	2.20
9	23.14	2.32
10	15.45	2.76
11	6.74	3.18
12	5.13	3.19
