metric	prcp	t2m	u10m	v10m
RMSE	14.33	1.05	0.63	0.70
MAE	8.15	0.85	0.48	0.53
CORR	0.32	0.98	0.87	0.87
CRPS	8.15	0.85	0.48	0.53
STD_DEV	0.00	0.00	0.00	0.00
