metric	prcp	t2m	u10m	v10m
RMSE	11.35	0.84	0.50	0.51
MAE	6.29	0.68	0.37	0.39
CORR	0.38	0.99	0.91	0.90
CRPS	5.71	0.53	0.28	0.29
STD_DEV	1.58	0.41	0.26	0.31
