metric	prcp	t2m	u10m	v10m
RMSE	0.008	-0.057	-0.019	-0.033
MAE	0.028	-0.044	-0.015	-0.028
CORR	0.006	0.001	0.006	0.007
CRPS	-0.316	-0.125	-0.082	-0.110
STD_DEV	0.933	0.203	0.179	0.242
