month	prcp	t2m	u10m	v10m
1	3.39	0.90	0.48	0.49
2	2.70	0.93	0.50	0.53
3	3.18	0.98	0.52	0.53
4	5.74	1.05	0.54	0.58
5	9.70	1.12	0.55	0.61
6	16.18	1.22	0.60	0.70
7	13.45	1.08	0.57	0.67
8	15.12	0.98	0.59	0.67
9	11.02	0.97	0.55	0.63
10	3.82	0.87	0.46	0.49
11	1.95	0.81	0.43	0.43
12	1.69	0.85	0.43	0.43
