metric	prcp	t2m	u10m	v10m
RMSE	0.027	-0.023	-0.008	-0.038
MAE	0.030	-0.015	-0.003	-0.028
CORR	-0.004	0.002	0.013	0.014
CRPS	-0.512	-0.157	-0.096	-0.130
STD_DEV	1.445	0.359	0.267	0.305
