month	prcp	t2m	u10m	v10m
1	0.058	-0.060	-0.015	-0.019
2	0.052	-0.039	-0.010	-0.016
3	0.034	-0.036	-0.006	-0.014
4	0.026	-0.040	0.002	-0.004
5	0.033	-0.036	0.005	-0.000
6	0.052	-0.011	0.005	0.003
7	0.072	-0.014	0.004	-0.003
8	0.109	-0.009	0.005	-0.003
9	0.134	-0.023	0.002	-0.003
10	0.153	-0.034	-0.008	-0.011
11	0.073	-0.067	-0.014	-0.020
12	0.058	-0.090	-0.015	-0.017
