metric	prcp	t2m	u10m	v10m
RMSE	0.007	-0.035	-0.012	-0.059
MAE	0.008	-0.024	-0.005	-0.047
CORR	0.001	0.001	0.014	0.017
CRPS	-0.597	-0.177	-0.101	-0.148
STD_DEV	1.648	0.412	0.267	0.313
