metric	prcp	t2m	u10m	v10m
RMSE	1.432	0.428	0.414	0.695
MAE	1.735	0.329	0.356	0.576
CORR	-0.086	-0.021	-0.173	-0.236
CRPS	0.688	0.197	0.313	0.571
STD_DEV	10.881	2.656	2.073	3.063
