metric	prcp	t2m	u10m	v10m
RMSE	12.64	0.96	0.60	0.60
MAE	7.07	0.78	0.45	0.46
CORR	0.31	0.99	0.88	0.88
CRPS	6.57	0.63	0.36	0.35
STD_DEV	1.37	0.36	0.25	0.30
