metric	prcp	t2m	u10m	v10m
RMSE	0.031	0.016	0.011	0.031
MAE	0.058	0.012	0.011	0.028
CRPS	0.058	0.012	0.011	0.028
STD_DEV	0.000	0.000	0.000	0.000
