metric	prcp	t2m	u10m	v10m
RMSE	8.45	0.58	0.48	0.55
MAE	4.35	0.46	0.35	0.42
CRPS	4.00	0.35	0.27	0.31
STD_DEV	1.27	0.32	0.29	0.39
