metric	prcp	t2m	u10m	v10m
RMSE	16.99	2.38	1.40	1.66
MAE	9.16	2.06	1.06	1.24
CORR	0.14	0.92	0.42	0.42
CRPS	8.70	1.91	0.95	1.12
STD_DEV	1.23	0.30	0.24	0.28
