month	prcp	t2m	u10m	v10m
1	0.52	0.98	0.92	0.93
2	0.50	0.98	0.91	0.92
3	0.42	0.97	0.89	0.91
4	0.31	0.97	0.87	0.89
5	0.31	0.97	0.84	0.85
6	0.33	0.97	0.82	0.84
7	0.29	0.98	0.85	0.87
8	0.31	0.98	0.83	0.84
9	0.33	0.98	0.85	0.85
10	0.46	0.98	0.91	0.93
11	0.47	0.98	0.93	0.95
12	0.49	0.98	0.92	0.94
