metric	prcp	t2m	u10m	v10m
RMSE	-0.016	-0.031	-0.016	-0.027
MAE	-0.035	-0.024	-0.013	-0.023
CORR	-0.002	0.001	0.004	0.004
CRPS	-0.449	-0.115	-0.082	-0.107
STD_DEV	1.035	0.242	0.203	0.270
