metric	prcp	t2m	u10m	v10m
RMSE	-0.057	-0.021	-0.030	-0.038
MAE	-0.049	-0.017	-0.025	-0.032
CORR	-0.016	0.001	0.011	0.012
CRPS	-0.709	-0.168	-0.107	-0.123
STD_DEV	2.016	0.445	0.279	0.317
