metric	prcp	t2m	u10m	v10m
RMSE	8.12	0.50	0.42	0.47
MAE	4.26	0.40	0.30	0.35
CRPS	4.26	0.40	0.30	0.35
STD_DEV	0.00	0.00	0.00	0.00
