metric	prcp	t2m	u10m	v10m
RMSE	8.43	0.53	0.45	0.51
MAE	4.37	0.42	0.33	0.38
CRPS	4.02	0.34	0.27	0.30
STD_DEV	0.93	0.20	0.18	0.24
