year_bin	prcp	t2m	u10m	v10m
2015-2024	5.60	0.79	0.40	0.42
2025-2034	5.84	0.80	0.41	0.43
2035-2044	6.25	0.79	0.41	0.43
2045-2054	6.39	0.78	0.41	0.43
2055-2064	6.90	0.82	0.42	0.45
2065-2074	7.10	0.83	0.42	0.45
2075-2080	7.09	0.86	0.42	0.46
