month	prcp	t2m	u10m	v10m
1	-0.004	0.003	0.016	0.015
2	0.003	0.002	0.015	0.016
3	0.005	0.002	0.016	0.017
4	0.002	0.002	0.016	0.017
5	-0.001	0.002	0.015	0.015
6	-0.004	0.001	0.016	0.016
7	-0.005	0.001	0.012	0.016
8	-0.006	0.001	0.011	0.014
9	-0.005	0.002	0.011	0.014
10	-0.006	0.003	0.014	0.012
11	-0.009	0.003	0.013	0.011
12	-0.007	0.003	0.015	0.013
