month	prcp	t2m	u10m	v10m
1	-0.001	-0.033	-0.016	-0.060
2	-0.001	-0.019	-0.015	-0.059
3	0.001	-0.020	-0.008	-0.052
4	0.014	-0.019	0.005	-0.034
5	0.026	-0.011	0.013	-0.023
6	0.050	-0.005	0.007	-0.031
7	0.040	-0.003	0.005	-0.030
8	0.077	-0.008	0.005	-0.016
9	0.048	-0.016	0.003	-0.014
10	0.002	-0.048	-0.008	-0.043
11	0.000	-0.047	-0.009	-0.049
12	-0.006	-0.041	-0.016	-0.060
