metric	prcp	t2m	u10m	v10m
RMSE	14.95	2.02	1.26	1.39
MAE	8.58	1.76	0.87	1.00
CORR	0.21	0.97	0.48	0.49
CRPS	8.58	1.76	0.87	1.00
STD_DEV	0.00	0.00	0.00	0.00
