year_bin	prcp	t2m	u10m	v10m
2015-2024	0.004	-0.091	-0.021	-0.067
2025-2034	0.006	-0.089	-0.019	-0.068
2035-2044	-0.005	-0.094	-0.018	-0.066
2045-2054	-0.002	-0.094	-0.017	-0.065
2055-2064	-0.003	-0.092	-0.018	-0.066
2065-2074	0.011	-0.076	-0.016	-0.065
2075-2080	-0.007	-0.090	-0.019	-0.066
