metric	prcp	t2m	u10m	v10m
RMSE	11.80	2.87	1.32	1.89
MAE	8.01	2.12	1.16	1.68
CORR	0.39	0.98	0.80	0.83
CRPS	8.01	2.12	1.16	1.68
STD_DEV	0.00	0.00	0.00	0.00
