month	prcp	t2m	u10m	v10m
1	2.42	0.90	0.42	0.44
2	2.94	0.90	0.45	0.48
3	4.16	0.94	0.49	0.53
4	5.27	0.95	0.49	0.54
5	9.16	0.96	0.50	0.55
6	13.14	0.98	0.54	0.60
7	9.75	0.85	0.49	0.54
8	11.38	0.90	0.52	0.57
9	9.16	0.88	0.48	0.53
10	4.92	0.88	0.45	0.50
11	2.16	0.83	0.41	0.42
12	2.20	0.88	0.41	0.43
