metric	prcp	t2m	u10m	v10m
RMSE	0.019	-0.030	-0.020	-0.045
MAE	0.023	-0.021	-0.014	-0.036
CORR	-0.002	0.002	0.014	0.015
CRPS	-0.510	-0.169	-0.107	-0.137
STD_DEV	1.446	0.368	0.272	0.310
