metric	prcp	t2m	u10m	v10m
RMSE	0.032	0.008	-0.006	0.015
CRPS	0.063	0.006	-0.005	0.013
MAE	0.063	0.006	-0.005	0.013
STD_DEV	0.000	0.000	0.000	0.000
