year_bin	prcp	t2m	u10m	v10m
2015-2024	-0.500	-0.163	-0.096	-0.122
2025-2034	-0.462	-0.165	-0.095	-0.119
2035-2044	-0.467	-0.167	-0.096	-0.121
2045-2054	-0.463	-0.168	-0.097	-0.120
2055-2064	-0.474	-0.166	-0.095	-0.118
2065-2074	-0.478	-0.165	-0.097	-0.119
2075-2080	-0.480	-0.170	-0.094	-0.118
