metric	prcp	t2m	u10m	v10m
RMSE	8.56	0.56	0.46	0.53
MAE	4.41	0.44	0.34	0.40
CRPS	4.41	0.44	0.34	0.40
STD_DEV	0.00	0.00	0.00	0.00
