year_bin	prcp	t2m	u10m	v10m
2015-2024	5.80	0.71	0.41	0.44
2025-2034	6.59	0.70	0.42	0.45
2035-2044	6.59	0.71	0.42	0.45
2045-2054	6.44	0.69	0.41	0.45
2055-2064	6.49	0.70	0.41	0.45
2065-2074	7.33	0.70	0.42	0.46
2075-2080	7.45	0.70	0.42	0.46
