metric	prcp	t2m	u10m	v10m
RMSE	14.22	1.16	0.74	0.88
MAE	8.04	0.95	0.60	0.72
CORR	0.32	0.97	0.84	0.85
CRPS	7.49	0.82	0.50	0.60
STD_DEV	1.40	0.30	0.25	0.29
