metric	prcp	t2m	u10m	v10m
RMSE	2.685	2.912	0.873	1.304
MAE	3.133	2.152	0.805	1.211
CRPS	3.133	2.152	0.805	1.211
STD_DEV	0.000	0.000	0.000	0.000
