metric	prcp	t2m	u10m	v10m
RMSE	0.022	-0.047	-0.026	-0.041
MAE	-0.012	-0.036	-0.023	-0.034
CORR	-0.003	0.001	0.007	0.008
CRPS	-0.404	-0.122	-0.095	-0.122
STD_DEV	1.018	0.226	0.205	0.271
