metric	prcp	t2m	u10m	v10m
RMSE	14.40	0.98	0.59	0.63
MAE	8.32	0.80	0.45	0.48
CORR	0.33	0.99	0.88	0.87
CRPS	7.74	0.66	0.36	0.38
STD_DEV	1.60	0.35	0.25	0.29
