month	prcp	t2m	u10m	v10m
1	2.02	0.68	0.44	0.47
2	2.33	0.68	0.45	0.48
3	2.62	0.69	0.48	0.49
4	3.09	0.71	0.47	0.48
5	5.50	0.71	0.47	0.48
6	6.46	0.71	0.48	0.51
7	7.05	0.68	0.46	0.50
8	8.26	0.69	0.48	0.51
9	7.59	0.67	0.44	0.48
10	4.25	0.64	0.44	0.48
11	2.49	0.63	0.42	0.45
12	2.11	0.65	0.42	0.45
