metric	prcp	t2m	u10m	v10m
RMSE	8.45	0.53	0.44	0.50
MAE	4.23	0.42	0.32	0.37
CRPS	4.23	0.42	0.32	0.37
STD_DEV	0.00	0.00	0.00	0.00
