metric	prcp	t2m	u10m	v10m
RMSE	0.035	-0.014	0.000	-0.032
MAE	0.028	-0.007	0.006	-0.023
CORR	-0.006	0.002	0.013	0.013
CRPS	-0.546	-0.154	-0.094	-0.130
STD_DEV	1.524	0.362	0.270	0.305
