metric	prcp	t2m	u10m	v10m	q2m	mswdnb
RMSE	0.01286	-0.04727	-0.02736	-0.04670	-0.00002	-0.36581
MAE	0.00431	-0.03564	-0.02185	-0.03795	-0.00002	-0.26876
CRPS	-0.40201	-0.13748	-0.09938	-0.13169	-0.00011	-5.34304
STD_DEV	1.13523	0.27648	0.22805	0.29916	0.00020	12.01994
