metric	prcp	t2m	u10m	v10m
RMSE	13.41	1.09	0.62	0.69
MAE	7.09	0.89	0.48	0.53
CORR	0.30	0.97	0.85	0.87
CRPS	6.66	0.76	0.39	0.43
STD_DEV	1.14	0.30	0.24	0.28
