metric	pr	tas	uas	vas
RMSE	0.054	-0.104	-0.031	-0.086
MAE	0.042	-0.095	-0.015	-0.061
CORR	-0.018	0.003	0.014	0.018
CRPS	-0.359	-0.221	-0.102	-0.158
STD_DEV	1.087	0.300	0.231	0.273
SSR	0.287	0.314	0.408	0.453
