metric	prcp	t2m	u10m	v10m
RMSE	8.16	0.54	0.45	0.51
MAE	4.42	0.43	0.33	0.38
CRPS	4.42	0.43	0.33	0.38
STD_DEV	0.00	0.00	0.00	0.00
