year_bin	prcp	t2m	u10m	v10m
2015-2024	2.90	0.55	0.34	0.37
2025-2034	2.78	0.55	0.35	0.38
2035-2044	2.67	0.54	0.34	0.37
2045-2054	2.40	0.53	0.33	0.36
2055-2064	2.40	0.52	0.33	0.36
2065-2074	2.38	0.53	0.34	0.37
2075-2080	2.45	0.53	0.34	0.37
