metric	prcp	t2m	u10m	v10m
RMSE	0.029	-0.097	-0.014	-0.074
MAE	0.052	-0.090	-0.004	-0.056
CORR	-0.013	0.002	0.012	0.017
CRPS	-0.408	-0.223	-0.097	-0.159
STD_DEV	1.219	0.303	0.237	0.277
