metric	prcp	t2m	u10m	v10m
RMSE	12.63	0.92	0.57	0.61
MAE	7.30	0.75	0.42	0.46
CORR	0.39	0.99	0.88	0.87
CRPS	7.30	0.75	0.42	0.46
STD_DEV	0.00	0.00	0.00	0.00
